target,predictor,best_lag,F_stat,p_value,p_lag1,p_lag2,p_lag3,p_lag4,significant_5pct
Diesel volatility,LLM sentiment (combined),4,1.0809630753110466,0.3713831263007974,0.6646677411636995,0.6807152100364099,0.7766943455349838,0.3713831263007974,False
Diesel volatility,LLM sentiment (English),1,2.0164769507206914,0.15901674457724246,0.15901674457724246,0.2600134236658044,0.5432067438574811,0.40128144370895136,False
Diesel volatility,LLM sentiment (Thai),1,3.594827546212316,0.061204239065703235,0.061204239065703235,0.10701282617590292,0.1850040507455386,0.13982852042597294,False
Diesel volatility,Tetlock negativity (combined),4,0.9264352559011589,0.4527653111379324,0.583670039316306,0.67053349704152,0.8929725267830028,0.4527653111379324,False
Diesel volatility,GPR Global (Caldara-Iacoviello),4,1.7867998668204546,0.1393525810205676,0.15764613825980917,0.2997580393371144,0.4453895054460095,0.1393525810205676,False
Diesel volatility,EPU US (first difference),1,8.210991408710486,0.005170946191513765,0.005170946191513765,0.0090044931762025,0.005577205451224714,0.020909828241769263,True
Gasohol 95 volatility,LLM sentiment (combined),1,2.9815426776256353,0.08761220389068612,0.08761220389068612,0.18865709662186353,0.26770403730358006,0.284341792958297,False
Gasohol 95 volatility,LLM sentiment (English),2,4.151431065621758,0.01892836109902213,0.01910562377402915,0.01892836109902213,0.03942271648018876,0.04637595219451,True
Gasohol 95 volatility,LLM sentiment (Thai),1,0.2739641617629255,0.6019857326111565,0.6019857326111565,0.6691751970025328,0.8829775200069115,0.8462384423079293,False
Gasohol 95 volatility,Tetlock negativity (combined),1,4.1997494568360825,0.04330878333206152,0.04330878333206152,0.047997955110788255,0.07642034632763345,0.10459894086214579,True
Gasohol 95 volatility,GPR Global (Caldara-Iacoviello),2,1.133499365105979,0.3265588408427557,0.7352017877224798,0.3265588408427557,0.49614183168307113,0.5669640019968185,False
Gasohol 95 volatility,EPU US (first difference),2,3.684105978409529,0.02907216709247805,0.05832069002855123,0.02907216709247805,0.06412012075240302,0.272162981595481,True
Diesel log-return,LLM sentiment (combined),2,4.834684221629727,0.010182839025211152,0.908648400812643,0.010182839025211152,0.03916131159921817,0.10346495091958559,True
Diesel log-return,LLM sentiment (English),2,4.949733743564328,0.009181276696884637,0.24647006953634354,0.009181276696884637,0.013034138041377999,0.03838656731160636,True
Diesel log-return,LLM sentiment (Thai),1,11.539381734555514,0.0010204414275265948,0.0010204414275265948,0.0018010073017258727,0.0017916184394518718,0.00679785055036016,True
Diesel log-return,Tetlock negativity (combined),2,4.657393727424276,0.011950021406613222,0.6490579046030658,0.011950021406613222,0.059253593155376254,0.10151955069232484,True
Diesel log-return,GPR Global (Caldara-Iacoviello),2,0.5543627590172395,0.5764310388780869,0.5944072358824561,0.5764310388780869,0.7979850459397347,0.931720815292906,False
Diesel log-return,EPU US (first difference),1,1.0014994339730698,0.3196016440856803,0.3196016440856803,0.6250973588003601,0.8189931074795022,0.9640441229256022,False
Gasohol 95 log-return,LLM sentiment (combined),2,2.47001317995537,0.09043046345178465,0.8995191180568727,0.09043046345178465,0.11513438745671555,0.1463733766427645,False
Gasohol 95 log-return,LLM sentiment (English),2,5.145351884179215,0.007703534105800186,0.113251788841671,0.007703534105800186,0.022889345403652263,0.038796996986049145,True
Gasohol 95 log-return,LLM sentiment (Thai),1,14.997427968534712,0.00020514987277376237,0.00020514987277376237,0.0015713187023332716,0.005783287958396261,0.008105370703951124,True
Gasohol 95 log-return,Tetlock negativity (combined),2,1.9235255760327186,0.15218365489412566,0.5344514161764882,0.15218365489412566,0.19841710973202925,0.18926219131061603,False
Gasohol 95 log-return,GPR Global (Caldara-Iacoviello),4,0.8693973300395477,0.48598127910499755,0.9438416739851143,0.8214486873984943,0.6228752771983643,0.48598127910499755,False
Gasohol 95 log-return,EPU US (first difference),3,3.9624345432594845,0.010738238576215461,0.035442176641767395,0.051220682926266095,0.010738238576215461,0.022701006030267593,True
